tr|A0A165U9X1|A0A165U9X1_9APHY	adb12533ac219810aa11efc4762d8da4	649	Pfam	PF00732	GMC oxidoreductase	7	313	1.1E-33	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A165U9X1|A0A165U9X1_9APHY	adb12533ac219810aa11efc4762d8da4	649	Pfam	PF05199	GMC oxidoreductase	427	614	1.4E-22	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A0M9WC58|A0A0M9WC58_9EURO	9ccc5db8368b68f16c9829ce3c4bc474	666	Pfam	PF00732	GMC oxidoreductase	8	310	8.1E-40	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A0M9WC58|A0A0M9WC58_9EURO	9ccc5db8368b68f16c9829ce3c4bc474	666	Pfam	PF05199	GMC oxidoreductase	427	632	3.2E-22	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A1V6S025|A0A1V6S025_9EURO	3652352a246e1d5d8ba529cd1b70481e	666	Pfam	PF00732	GMC oxidoreductase	8	310	4.6E-40	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A1V6S025|A0A1V6S025_9EURO	3652352a246e1d5d8ba529cd1b70481e	666	Pfam	PF05199	GMC oxidoreductase	427	632	3.5E-22	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A1R3RRE5|A0A1R3RRE5_ASPC5	7fb2189daed53eaa9a3cfa1a8e52ccb4	667	Pfam	PF00732	GMC oxidoreductase	8	310	2.0E-40	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A1R3RRE5|A0A1R3RRE5_ASPC5	7fb2189daed53eaa9a3cfa1a8e52ccb4	667	Pfam	PF05199	GMC oxidoreductase	427	633	2.8E-22	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A0C9T329|A0A0C9T329_PLICR	c506850a6ca4ff925b9287e55329f161	649	Pfam	PF05199	GMC oxidoreductase	427	614	4.0E-24	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A0C9T329|A0A0C9T329_PLICR	c506850a6ca4ff925b9287e55329f161	649	Pfam	PF00732	GMC oxidoreductase	7	313	4.2E-34	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|T0KZZ1|T0KZZ1_COLGC	925e090f2b21d980d49f08d92e97abe1	670	Pfam	PF00732	GMC oxidoreductase	9	312	7.7E-40	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|T0KZZ1|T0KZZ1_COLGC	925e090f2b21d980d49f08d92e97abe1	670	Pfam	PF05199	GMC oxidoreductase	429	635	1.6E-21	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A2B7Z2F3|A0A2B7Z2F3_9EURO	13051052be9ce0e61713f72d6f1eaba3	665	Pfam	PF00732	GMC oxidoreductase	8	310	1.1E-40	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A2B7Z2F3|A0A2B7Z2F3_9EURO	13051052be9ce0e61713f72d6f1eaba3	665	Pfam	PF05199	GMC oxidoreductase	427	631	4.7E-20	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A2H3JSG5|A0A2H3JSG5_WOLCO	18a3893ca228c1fb72623d7866bbe291	650	Pfam	PF00732	GMC oxidoreductase	7	313	1.3E-33	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A2H3JSG5|A0A2H3JSG5_WOLCO	18a3893ca228c1fb72623d7866bbe291	650	Pfam	PF05199	GMC oxidoreductase	427	614	5.2E-23	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A1V1TC36|A0A1V1TC36_9PEZI	a7e102cec6caaa55d01c8059fbccbb63	667	Pfam	PF00732	GMC oxidoreductase	8	311	1.4E-36	T	13-12-2024	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	-	-
tr|A0A1V1TC36|A0A1V1TC36_9PEZI	a7e102cec6caaa55d01c8059fbccbb63	667	Pfam	PF05199	GMC oxidoreductase	428	633	6.3E-21	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
tr|A0A2L2SPC1|A0A2L2SPC1_9HYPO	f2b4762f317aac8db1bfab50df1985bf	674	Pfam	PF05199	GMC oxidoreductase	435	640	1.5E-21	T	13-12-2024	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	-	-
